simulation_id,timestamp,target_url,company_context_length,num_turns,total_seller_words,total_buyer_words,avg_seller_turn_length,avg_buyer_turn_length,score,outcome,key_objection,feedback,conversation_file
43290c94-50b8-418e-b69a-fe7a0f601def,2026-02-08T13:04:57.026424,https://deepmostai.com,1510,3,254,174,63.5,58.0,5,Success,Unknown,Auto-generated from batch pipeline. Sentiment: Positive,43290c94-50b8-418e-b69a-fe7a0f601def.json
752c57c7-3f4b-4f17-860e-174c717bb689,2026-02-08T13:05:17.121356,https://stripe.com,3000,3,282,159,94.0,53.0,5,Success,Unknown,Auto-generated from batch pipeline. Sentiment: Positive,752c57c7-3f4b-4f17-860e-174c717bb689.json
c7efa28d-4f2a-4a00-ac29-3d570b602488,2026-02-08T23:18:43.442043,https://www.salesforce.com/in/,3000,4,181,140,45.25,35.0,0,Error,Unknown,,c7efa28d-4f2a-4a00-ac29-3d570b602488.json
7b97d187-c4d2-45f7-befa-b00dfed4e88a,2026-02-08T23:24:18.907347,https://www.zoho.com/,3000,4,163,149,40.75,37.25,9,Success,Price,"The seller demonstrated excellent objection handling by reframing value and addressing objections, now strategically address the explicit price objection to secure the next step.",7b97d187-c4d2-45f7-befa-b00dfed4e88a.json
f8c7a6c3-65d5-42af-aebc-86c02028eb53,2026-02-11T13:48:02.016120,https://www.apollo.io/,3000,4,181,119,45.25,29.75,6,Ongoing,Integration/Vendor Lock-in,Focus on demonstrating tangible value and addressing integration concerns early and directly.,f8c7a6c3-65d5-42af-aebc-86c02028eb53.json
ff7f940f-c730-48fa-a195-10c060b068a0,2026-02-11T13:51:23.910688,https://www.google.com/,363,4,200,148,50.0,37.0,6,Partial Success,Price,"The seller successfully shifted from a feature-based pitch to focusing on tangible ROI, but needs to be more direct in addressing the ""orders of magnitude"" claim upfront to build credibility.",ff7f940f-c730-48fa-a195-10c060b068a0.json
e04242f3-b038-4f9f-b949-11e4f8334281,2026-02-11T14:16:10.465177,https://www.dropbox.com/,3000,4,257,256,64.25,64.0,6,Failure,Price,"The seller should have provided a detailed, written comparison of their pricing model to the competitors, including case studies and benchmarks, earlier in the conversation to address the buyer's concerns and build credibility.",e04242f3-b038-4f9f-b949-11e4f8334281.json
6683d487-39df-46d4-83d5-41b1732bedc2,2026-02-11T14:21:47.051264,https://www.alteryx.com/,3000,4,259,288,64.75,72.0,6,Failure,Price,The seller should have provided more detailed and personalized cost-benefit analysis earlier in the conversation to alleviate the buyer's concerns about the upfront investment and total cost of ownership.,6683d487-39df-46d4-83d5-41b1732bedc2.json
e08a64bc-ac5c-4989-ba3b-e678bf5fac08,2026-02-11T15:22:28.301255,https://www.apple.com/,1602,4,266,298,66.5,74.5,6,Failure,Price,The seller should have provided a more detailed and transparent breakdown of the costs and benefits earlier in the conversation to address the buyer's concerns about price and ROI.,e08a64bc-ac5c-4989-ba3b-e678bf5fac08.json
be9b60d5-a54e-456f-a413-54b55dc1eec5,2026-02-11T15:29:56.395644,https://www.sap.com,205,3,278,157,69.5,52.33,5,Success,Unknown,Auto-generated from batch pipeline. Sentiment: Neutral,be9b60d5-a54e-456f-a413-54b55dc1eec5.json
cd370073-2cee-4092-ad55-fa8445a1986a,2026-02-16T12:45:52.762621,https://www.myntra.com/,262,4,249,274,62.25,68.5,6,Failure,Price,The seller should have provided a more detailed and transparent breakdown of the costs and pricing model earlier in the conversation to address the buyer's concerns and build trust.,cd370073-2cee-4092-ad55-fa8445a1986a.json
24e246cc-7936-4082-8eb5-e59140329220,2026-02-16T12:50:19.531607,https://www.flipkart.com/,3000,4,255,271,63.75,67.75,4,Failure,Price,The seller should have provided a more detailed and transparent pricing breakdown earlier in the conversation to address the buyer's concerns and build trust.,24e246cc-7936-4082-8eb5-e59140329220.json
8459130f-233f-4a73-977b-8a960c762b28,2026-02-16T17:14:47.415836,https://www.crowdstrike.com,3000,3,288,132,72.0,44.0,5,Success,Unknown,Auto-generated from batch pipeline. Sentiment: Neutral,8459130f-233f-4a73-977b-8a960c762b28.json
b7625829-fd1c-4be6-a2ea-a339d55d5843,2026-02-16T17:37:24.062875,https://carla.org/,3000,4,250,265,62.5,66.25,6,Failure,Price,The seller should have provided more specific and detailed pricing information and ROI projections earlier in the conversation to address the buyer's concerns and build credibility.,b7625829-fd1c-4be6-a2ea-a339d55d5843.json
804b9ee8-0cb1-4a1c-8436-86c24ea9706c,2026-02-17T17:36:04.294655,https://www.intel.com,205,3,285,140,71.25,46.67,5,Success,Unknown,Auto-generated from batch pipeline. Sentiment: Neutral,804b9ee8-0cb1-4a1c-8436-86c24ea9706c.json
21970d15-e9af-4edd-b341-dbdf7eec3c33,2026-02-17T17:44:46.104303,https://www.zapier.com,3000,4,309,151,77.25,37.75,5,Success,Unknown,Auto-generated from batch pipeline. Sentiment: Positive,21970d15-e9af-4edd-b341-dbdf7eec3c33.json
580bc895-48ba-4d3a-b767-b6a94686f6b1,2026-02-19T15:34:40.725297,https://www.linode.com,144,4,265,176,66.25,44.0,4,Failure,Authority,The seller should have more effectively addressed the buyer's authority concerns and potentially offered to involve the CEO in the conversation or provide more tailored information to help the buyer make a case for the solution. Sentiment: Negative,580bc895-48ba-4d3a-b767-b6a94686f6b1.json,batch_v2
aae1cdf3-4e6a-4100-97f0-866d3e552836,2026-02-19T15:34:50.030798,https://www.vultr.com,3000,4,219,203,54.75,50.75,4,Failure,Timing,The seller should have more aggressively addressed the buyer's timing concerns and explored potential quick-win opportunities to demonstrate value and build momentum. Sentiment: Neutral,aae1cdf3-4e6a-4100-97f0-866d3e552836.json,batch_v2
95d04d32-714f-405d-b159-f5a9770f78bb,2026-02-19T15:34:57.025713,https://www.hetzner.com,3000,4,214,162,53.5,40.5,4,Failure,Integration,The seller should have provided more specific examples or case studies of successful integrations with similar companies to address the buyer's concerns about seamless integration with their existing systems. Sentiment: Neutral,95d04d32-714f-405d-b159-f5a9770f78bb.json,batch_v2
00126721-d8dc-42de-b4ed-db3e6f7a4406,2026-02-19T15:35:05.218997,https://www.ovhcloud.com,3000,5,243,144,48.6,28.8,8,Success,Integration,The seller could have asked more probing questions to understand the buyer's current pain points and infrastructure challenges to provide a more tailored pitch and demo. Sentiment: Neutral,00126721-d8dc-42de-b4ed-db3e6f7a4406.json,batch_v2
c81eedf5-a06d-4a9c-b975-4bce8acdc805,2026-02-19T15:35:13.525207,https://www.nginx.com,3000,4,280,168,70.0,42.0,2,Failure,Price,The seller should have more effectively addressed the buyer's budget concerns and provided a clearer value proposition to overcome the price objection. Sentiment: Negative,c81eedf5-a06d-4a9c-b975-4bce8acdc805.json,batch_v2
b965d2c4-41e2-4152-bc3f-1abff76ae20d,2026-02-19T15:35:19.497191,https://www.apache.org,3000,4,243,188,60.75,47.0,4,Failure,Price,The seller should have provided a clearer and more detailed pricing quote earlier in the conversation to address the buyer's budget concerns and potentially overcome the price objection. Sentiment: Neutral,b965d2c4-41e2-4152-bc3f-1abff76ae20d.json,batch_v2
b28ea7f4-bde6-422b-b5e3-49aed46a85c1,2026-02-19T15:35:25.547295,https://www.mysql.com,460,4,242,210,60.5,52.5,4,Failure,Timing,"The seller should have been more empathetic to the buyer's current situation and potentially offered a lighter-touch engagement, such as a brief exploratory call or a simple email follow-up, rather than pushing for a demo. Sentiment: Negative",b28ea7f4-bde6-422b-b5e3-49aed46a85c1.json,batch_v2
1bc1568a-b7d2-42aa-bf3d-6de9b3c69a0b,2026-02-19T15:35:32.674947,https://www.postgresql.org,3000,5,269,178,53.8,35.6,4,Failure,Timing,The seller should have more aggressively addressed the buyer's concerns about timing and budget by providing more specific examples or case studies of how their solution can help during a database upgrade. Sentiment: Neutral,1bc1568a-b7d2-42aa-bf3d-6de9b3c69a0b.json,batch_v2
c640d6f5-09f7-460c-8c5d-f193ed0a997b,2026-02-19T15:35:38.673953,https://www.jenkins.io,3000,4,250,166,62.5,41.5,4,Failure,Timing,The seller should have more aggressively addressed the buyer's timing concerns and provided a stronger value proposition to overcome their resistance to change. Sentiment: Neutral,c640d6f5-09f7-460c-8c5d-f193ed0a997b.json,batch_v2
81e2a806-4d8e-455f-ac1c-e8e32c86e445,2026-02-19T15:35:44.909797,https://www.docker.com,3000,5,274,214,54.8,42.8,4,Failure,Integration,The seller should have more aggressively addressed the buyer's integration concerns and provided more concrete examples of successful integrations with similar companies to build trust and credibility. Sentiment: Negative,81e2a806-4d8e-455f-ac1c-e8e32c86e445.json,batch_v2
67cc0114-35e3-4059-80b2-3c57b8df5e5b,2026-02-19T15:35:51.036292,https://www.kubernetes.io,3000,4,222,174,55.5,43.5,4,Failure,Integration,The seller should have more effectively addressed the buyer's concerns about simplifying their tech landscape and the potential complexity of integrating DeepData AI with their existing infrastructure. Sentiment: Negative,67cc0114-35e3-4059-80b2-3c57b8df5e5b.json,batch_v2
b9ed9a69-986c-489f-8f96-0a648735b128,2026-02-19T15:35:58.240327,https://www.terraform.io,2813,4,209,162,52.25,40.5,4,Failure,Timing,The seller should have more effectively addressed the buyer's timing concerns and provided a stronger value proposition to overcome the objection and keep the conversation moving forward. Sentiment: Negative,b9ed9a69-986c-489f-8f96-0a648735b128.json,batch_v2
f4f59d1c-fafa-41be-84aa-92f37154e401,2026-02-19T15:36:04.643014,https://www.ansible.com,3000,4,252,153,63.0,38.25,4,Failure,Integration,The seller should have more effectively addressed the buyer's integration concerns and provided concrete examples of successful implementations with Ansible users to build credibility and trust. Sentiment: Negative,f4f59d1c-fafa-41be-84aa-92f37154e401.json,batch_v2
